Sample_name	Labels	group	Date	Lat	Long	locality	culture
AAT001	AAT001      Abri des Autours      Beuronian	North-West_11-8_kaBP	10835	50.2	4.89	Abri des Autours	Beuronian
AC16	AC16      Arene Candide       Epigravettian	South_14-11_kaBP	12756	44.1618	8.326389	Arene Candide 	Epigravettian
Aveline_3	Aveline_3      Avelines Hole       Maglemose	North-West_11-8_kaBP	10546	51.324706	-2.753248	Avelines Hole 	Maglemose
Aveline_9	Aveline_9      Avelines Hole       Maglemose	North-West_11-8_kaBP	10393	51.324706	-2.753248	Avelines Hole 	Maglemose
BDB001	BDB001      Bad-Dürrenberg       Maglemose	North-West_11-8_kaBP	8600	51.3	12.07	Bad-Dürrenberg 	Maglemose
BAL051	BAL051      Balma Guilanyà       Azilian	North-West_14-11_kaBP	13015	42.085341	1.601683	Balma Guilanyà 	Azilian
Bockstein	Bockstein      Bockstein       Beuronian	North-West_11-8_kaBP	8391	48.33	10.09	Bockstein 	Beuronian
NEO27	NEO27      Bredgården       NA	North-West_11-8_kaBP	9648	57.742	13.403	Bredgården 	NA
Brillenhohle.pmds3filter	Brillenhohle      Brillenhöhle-Ach-Valley       Magdalenian	North-West_17-14_kaBP	14817	48.24	9.46	Brillenhöhle-Ach-Valley 	Magdalenian
DOG002	DOG002      Brown Bank       NA	North-West_11-8_kaBP	10247	52.36	3.27	Brown Bank 	NA
Chan	Chan      Chan do Lindeiro       NA	North-West_11-8_kaBP	9109	42.7343714	-7.0305368	Chan do Lindeiro 	NA
Chaudardes1	Chaudardes1      Cuiry-lès-Chaudardes       Tardenoisian	North-West_11-8_kaBP	8193	49.24	3.46	Cuiry-lès-Chaudardes 	Tardenoisian
I5876	I5876      Deriivka-1       Kukrek	East_11-8_kaBP	8832	48.91422	33.76493	Deriivka-1 	Kukrek
I5885	I5885      Deriivka-1       Kukrek	East_11-8_kaBP	8099	48.91422	33.76493	Deriivka-1 	Kukrek
DOG007	DOG007      Doggerland       NA	North-West_11-8_kaBP	9380	53	2.54	Doggerland 	NA
DOG001	DOG001      Doggerland Eurogeul       NA	North-West_11-8_kaBP	9592	51.9842	4.07028	Doggerland Eurogeul 	NA
NEO646	NEO646      El Mazo       Asturian	North-West_11-8_kaBP	8413	43.404	-4.707	El Mazo 	Asturian
Falkenstein	Falkenstein      Falkenstein-Höhle       Beuronian	North-West_11-8_kaBP	9161	48.06	9.04	Falkenstein-Höhle 	Beuronian
FRM001	FRM001      Farman       Beuronian	North-West_11-8_kaBP	9964	48.834	2.2712	Farman 	Beuronian
Goughs_Cave	Goughs_Cave      Goughs Cave      Magdalenian	North-West_17-14_kaBP	14750	51.28191	-2.765488	Goughs Cave	Magdalenian
Cheddar_man	Cheddar_man      Goughs Cave      NA	North-West_11-8_kaBP	10280	51.281679	-2.765746	Goughs Cave	NA
GoyetQ-2	GoyetQ-2      Goyet Cave       Magdalenian	North-West_17-14_kaBP	15077	50.446	5.008	Goyet Cave 	Magdalenian
GFW004	GFW004      Gross Fredenwalde       NA	North-West_11-8_kaBP	8376	53.1289	13.7954	Gross Fredenwalde 	NA
GFW009	GFW009      Gross Fredenwalde       NA	North-West_11-8_kaBP	8093	53.1289	13.7954	Gross Fredenwalde 	NA
R11	R11      Grotta Continenza       Epigravettian	South_14-11_kaBP	11868	41.958	13.5445	Grotta Continenza 	Epigravettian
R15	R15      Grotta Continenza       Sauveterrian	South_11-8_kaBP	9086	41.958	13.5445	Grotta Continenza 	Sauveterrian
R7	R7      Grotta Continenza       Sauveterrian	South_11-8_kaBP	10706	41.958	13.5445	Grotta Continenza 	Sauveterrian
I2158	I2158      Grotta dOriente       Epigravettian	South_14-11_kaBP	12000	37.9333	12.3333	Grotta dOriente 	Epigravettian
UZZ26	UZZ26      Grotta dellUzzo       Sauveterrian	South_11-8_kaBP	10666	38.1101	12.7866	Grotta dellUzzo 	Sauveterrian
UZZ40	UZZ40      Grotta dellUzzo       Castelnovian	South_11-8_kaBP	8279	38.1101	12.7866	Grotta dellUzzo 	Castelnovian
UZZ4446	UZZ4446      Grotta dellUzzo       Castelnovian	South_11-8_kaBP	8488	38.1101	12.7866	Grotta dellUzzo 	Castelnovian
UZZ5054	UZZ5054      Grotta dellUzzo       Sauveterrian	South_11-8_kaBP	10661	38.1101	12.7866	Grotta dellUzzo 	Sauveterrian
UZZ69	UZZ69      Grotta dellUzzo       Castelnovian	South_11-8_kaBP	8628	38.1101	12.7866	Grotta dellUzzo 	Castelnovian
UZZ79	UZZ79      Grotta dellUzzo       Castelnovian	South_11-8_kaBP	8580	38.1101	12.7866	Grotta dellUzzo 	Castelnovian
UZZ80	UZZ80      Grotta dellUzzo       Castelnovian	South_11-8_kaBP	8580	38.1101	12.7866	Grotta dellUzzo 	Castelnovian
UZZ81	UZZ81      Grotta dellUzzo       Castelnovian	South_11-8_kaBP	8578	38.1101	12.7866	Grotta dellUzzo 	Castelnovian
UZZ82	UZZ82      Grotta dellUzzo       Castelnovian	South_11-8_kaBP	8580	38.1101	12.7866	Grotta dellUzzo 	Castelnovian
UZZ96	UZZ96      Grotta dellUzzo       Sauveterrian	South_11-8_kaBP	10250	38.1101	12.7866	Grotta dellUzzo 	Sauveterrian
