Sample_name	Labels	group	Date	Lat	Long
AAT001	AAT001 West-North 11-8_kaBP	West-North_11-8_kaBP	10835	50.2	4.89
AC16	AC16 South 14-11_kaBP	South_14-11_kaBP	12756	44.1618	8.326389
Aveline_3	Aveline_3 West-North 11-8_kaBP	West-North_11-8_kaBP	10546	51.324706	-2.753248
Aveline_9	Aveline_9 West-North 11-8_kaBP	West-North_11-8_kaBP	10393	51.324706	-2.753248
BAL051	BAL051 West-North 14-11_kaBP	West-North_14-11_kaBP	13015	42.085341	1.601683
BDB001	BDB001 West-North 11-8_kaBP	West-North_11-8_kaBP	8600	51.3	12.07
Bichon	Bichon West-North 14-11_kaBP	West-North_14-11_kaBP	13698	47.0999985	6.86999989
Bockstein	Bockstein West-North 11-8_kaBP	West-North_11-8_kaBP	8391	48.33	10.09
Brillenhohle.pmds3filter	Brillenhohle.pmds3filter West-North 17-14_kaBP	West-North_17-14_kaBP	14817	48.24	9.46
Burkhardtshohle.pmds3filter	Burkhardtshohle.pmds3filter West-North 17-14_kaBP	West-North_17-14_kaBP	14620	48.32	9.35
Chan	Chan West-North 11-8_kaBP	West-North_11-8_kaBP	9109	42.7343714	-7.0305368
Chaudardes1	Chaudardes1 West-North 11-8_kaBP	West-North_11-8_kaBP	8193	49.24	3.46
Cheddar_man	Cheddar_man West-North 11-8_kaBP	West-North_11-8_kaBP	10280	51.281679	-2.765746
CMS001	CMS001 West-North 11-8_kaBP	West-North_11-8_kaBP	8067	39.246374	-8.647467
DOB001	DOB001 West-North 11-8_kaBP	West-North_11-8_kaBP	9483	50.688401	11.640646
DOG001	DOG001 West-North 11-8_kaBP	West-North_11-8_kaBP	9592	51.9842	4.07028
DOG002	DOG002 West-North 11-8_kaBP	West-North_11-8_kaBP	10247	52.36	3.27
DOG007	DOG007 West-North 11-8_kaBP	West-North_11-8_kaBP	9380	53	2.54
DOG009	DOG009 West-North 11-8_kaBP	West-North_11-8_kaBP	8813	52.01	3.53
DOG010	DOG010 West-North 11-8_kaBP	West-North_11-8_kaBP	8699	52.01	3.53
Falkenstein	Falkenstein West-North 11-8_kaBP	West-North_11-8_kaBP	9161	48.06	9.04
FRM001	FRM001 West-North 11-8_kaBP	West-North_11-8_kaBP	9964	48.834	2.2712
GFW004	GFW004 West-North 11-8_kaBP	West-North_11-8_kaBP	8376	53.1289	13.7954
GFW009	GFW009 West-North 11-8_kaBP	West-North_11-8_kaBP	8093	53.1289	13.7954
GoyetQ.2	GoyetQ.2 West-North 17-14_kaBP	West-North_17-14_kaBP	15077	50.446	5.008
H22	H22 West-North 11-8_kaBP	West-North_11-8_kaBP	9364	58.064	7.7437
H26	H26 West-North 11-8_kaBP	West-North_11-8_kaBP	9364	58.064	7.7437
HohleFels10_79	HohleFels10_79 West-North 17-14_kaBP	West-North_17-14_kaBP	14679	48.22	9.45
HohleFels49	HohleFels49 West-North 17-14_kaBP	West-North_17-14_kaBP	15609	48.22	9.45
I0061	I0061 East 11-8_kaBP	East_11-8_kaBP	8450	61.937725	35.260893
I0211	I0211 East 11-8_kaBP	East_11-8_kaBP	8450	61.937725	35.260893
